ID,ERA5_time,era5_l_lai_hv,era5_l_lai_lv,era5_l_skt,era5_l_rsn,era5_l_sde,era5_l_sd,era5_l_tsn,tp
443,2023-03-12T13,3.8261452,0.8686467,261.50006,274.01462,0.7734052,0.21173976,257.40903,7.771896e-05
444,2023-03-12T13,3.9708462,0.8562151,261.7146,271.74475,0.72464204,0.19687818,257.56613,7.701861e-05
445,2023-03-06T13,4.8745975,1.0246403,257.9478,272.91974,0.9990506,0.2725141,259.4676,8.402029e-05
446,2023-03-06T13,4.0443025,0.76854926,260.6546,277.90805,0.8847412,0.24552314,260.84146,9.312304e-05
447,2023-03-07T13,4.5052557,0.91920185,257.23468,275.75037,0.9443407,0.26023155,257.06024,0.00021775262
448,2023-03-07T13,3.7430775,0.6583224,258.60162,280.45563,0.83009744,0.23306184,257.90204,0.00022125439
449,2023-03-07T13,3.766724,0.87730277,259.1774,279.99097,0.74413407,0.20834355,258.1013,0.00027936892
450,2023-03-06T13,4.8745975,1.0246403,257.9478,272.91974,0.9990506,0.2725141,259.4676,8.402029e-05
452,2023-04-17T13,0.45408773,0.75759107,275.57242,335.93073,1.3857201,0.46561304,271.21237,0.00023875767
453,2023-03-26T13,3.8366716,0.5685847,257.23383,270.30273,1.3730338,0.371183,254.91916,8.402484e-06
454,2023-03-27T13,3.8366716,0.5685847,254.66441,272.0225,1.3642459,0.371183,252.65735,2.8015102e-06
455,2023-03-27T13,3.6542127,0.49427128,255.5336,274.58606,1.3672192,0.3754985,253.28038,2.8015102e-06
456,2023-03-25T13,4.7463727,0.57664216,258.22427,247.75912,1.151353,0.2854606,256.71634,4.2003567e-06
457,2023-03-25T13,4.8658257,0.6663799,257.7494,251.00635,1.2050717,0.3027225,256.2788,4.9007112e-06
458,2023-03-11T13,4.6675005,0.8843934,258.1242,275.90524,1.031229,0.28456682,254.80733,0.0002226551
459,2023-03-11T13,4.71548,0.98412246,257.9563,276.6583,1.0800582,0.2988156,254.5788,0.00023805731
460,2023-03-07T13,4.987414,1.1117076,254.25229,272.91974,1.1777167,0.32151657,255.57413,0.00015963809
461,2023-03-25T13,4.6675005,0.8843934,258.5168,257.6183,1.2529099,0.32299763,256.73853,7.001775e-06
462,2023-03-11T13,4.9288316,0.7208027,257.02606,275.3979,1.179699,0.32493836,253.7583,0.0002779682
463,2023-03-25T13,4.8428655,0.5872781,257.76297,262.9698,1.3173988,0.3467456,255.98949,1.0501685e-05
464,2023-04-17T13,3.9558954,0.64722604,274.61166,332.94522,1.2558832,0.41814268,271.2767,0.00017504217
465,2023-04-13T13,7.567342e-09,0.75901836,272.38315,316.68774,1.3456788,0.4260842,268.71228,1.120204e-05
466,2023-04-13T13,7.567342e-09,0.75901836,272.44165,318.86148,1.3691354,0.43652818,268.76508,9.102839e-06
